DATE,AED,AUD,BDT,BHD,CAD,CHF,CNY,DKK,EUR,GBP,HKD,JPY,KES,KRW,KWD,MYR,NOK,NZD,OMR,PKR,QAR,SAR,SEK,SGD,THB,TRY,USD,ZAR
2021-01-06,19.43,55.95,0.0,189.32,57.03,82.12,0.0,11.94,88.89,98.46,9.33,70.3,,0.0,235.01,0.0,8.53,52.38,185.39,0.0,19.6,19.02,8.83,54.88,0.0,0.0,72.8,4.74
2021-01-07,19.41,56.21,0.0,189.11,57.01,82.03,0.0,11.97,89.12,98.39,9.32,69.99,,0.0,234.88,0.0,8.6,52.69,185.18,0.0,19.58,19.0,8.84,54.84,0.0,0.0,72.72,4.73
2021-01-08,19.48,56.16,0.0,189.74,57.17,81.68,0.0,11.94,88.93,98.38,9.35,69.75,,0.0,235.54,0.0,8.6,52.55,185.83,0.0,19.48,19.08,8.85,54.73,0.0,0.0,72.98,4.63
2021-01-11,19.49,55.79,0.0,189.85,56.91,81.5,0.0,11.87,88.32,98.07,9.36,69.59,,0.0,235.43,0.0,8.53,52.14,185.93,0.0,19.66,19.09,8.77,54.53,0.0,0.0,73.02,4.65
2021-01-12,19.49,55.74,0.0,189.66,56.75,81.21,0.0,11.84,88.12,98.16,9.35,69.51,,0.0,235.39,0.0,8.5,51.95,185.77,0.0,19.65,19.07,8.73,54.53,0.0,0.0,73.01,4.59
2021-01-13,19.42,56.03,0.0,189.24,56.9,81.44,0.0,11.87,88.31,99.04,9.32,69.72,,0.0,235.25,0.0,8.59,52.21,185.29,0.0,19.59,19.02,8.78,54.67,0.0,0.0,72.77,4.69
2021-01-14,19.43,55.87,0.0,189.29,56.98,81.24,0.0,11.81,87.82,98.7,9.33,69.44,,0.0,235.15,0.0,8.54,51.97,185.32,0.0,19.59,19.02,8.66,54.52,0.0,0.0,72.79,4.67
2021-01-15,19.39,55.92,0.0,188.95,57.06,81.1,0.0,11.79,87.71,98.87,9.31,69.51,,0.0,234.82,0.0,8.51,51.96,185.04,0.0,19.42,18.99,8.68,54.5,0.0,0.0,72.67,4.71
2021-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-18,19.43,55.52,0.0,189.34,56.64,80.99,0.0,11.74,87.34,98.26,9.33,69.66,,0.0,235.14,0.0,8.44,51.55,185.39,0.0,19.5,19.03,8.62,54.38,0.0,0.0,72.81,4.68
2021-01-19,19.42,55.63,0.0,189.2,56.83,80.99,0.0,11.76,87.47,98.46,9.33,69.46,,0.0,235.01,0.0,8.46,51.56,185.29,0.0,19.59,19.02,8.64,54.43,0.0,0.0,72.77,4.72
2021-01-20,19.4,55.62,0.0,189.06,56.82,81.14,0.0,11.79,87.71,98.69,9.32,69.55,,0.0,235.08,0.0,8.48,51.44,185.11,0.0,19.57,19.0,8.67,54.5,0.0,0.0,72.7,4.76
2021-01-21,19.36,55.92,0.0,188.57,57.13,80.9,0.0,11.75,87.43,98.68,9.3,69.57,,0.0,234.67,0.0,8.52,51.9,184.68,0.0,19.52,18.96,8.66,54.45,0.0,0.0,72.53,4.78
2021-01-22,19.38,55.74,0.0,188.83,56.96,81.38,0.0,11.81,87.88,99.07,9.31,69.63,,0.0,234.95,0.0,8.57,51.86,184.94,0.0,19.55,18.99,8.72,54.53,0.0,0.0,72.63,4.75
2021-01-25,19.37,55.66,0.0,188.72,56.76,81.31,0.0,11.8,87.81,98.88,9.3,69.44,,0.0,234.69,0.0,8.5,51.92,184.78,0.0,19.54,18.97,8.7,54.4,0.0,0.0,72.57,4.7
2021-01-28,19.4,54.96,0.0,189.06,56.33,81.05,0.0,11.74,87.35,98.84,9.32,69.17,,0.0,235.2,0.0,8.33,51.51,185.11,0.0,19.57,19.0,8.62,54.29,0.0,0.0,72.7,4.66
2021-01-29,19.37,55.02,0.0,188.7,56.05,80.87,0.0,11.73,87.24,98.93,9.3,68.97,,0.0,234.71,0.0,8.35,51.57,184.81,0.0,19.54,18.97,8.62,54.2,0.0,0.0,72.58,4.66
2021-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,19.34,54.98,0.0,188.45,56.38,80.58,0.0,11.75,87.37,99.01,9.29,68.73,,0.0,234.56,0.0,8.41,51.82,184.55,0.0,19.51,18.94,8.61,54.21,0.0,0.0,72.48,4.7
2021-02-02,19.4,54.98,0.0,188.96,56.3,80.44,0.0,11.73,87.25,98.99,9.31,68.76,,0.0,235.03,0.0,8.44,51.75,185.06,0.0,19.56,19.0,8.59,54.3,0.0,0.0,72.68,4.74
2021-02-03,19.37,54.76,0.0,188.72,56.44,80.15,0.0,11.67,86.84,98.64,9.3,68.63,,0.0,234.64,0.0,8.39,52.0,184.81,0.0,19.54,18.97,8.59,54.18,0.0,0.0,72.58,4.76
2021-02-04,19.35,54.83,0.0,188.49,56.3,79.87,0.0,11.64,86.59,98.16,9.3,68.49,,0.0,234.33,0.0,8.38,51.82,184.54,0.0,19.52,18.95,8.56,54.04,0.0,0.0,72.52,4.75
2021-02-05,19.38,54.63,0.0,188.76,56.24,79.61,0.0,11.6,86.25,98.7,9.3,68.3,,0.0,234.65,0.0,8.35,51.51,184.86,0.0,19.54,18.97,8.53,53.92,0.0,0.0,72.6,4.74
2021-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-10,19.34,55.59,0.0,188.47,56.71,80.62,0.0,11.74,87.34,99.62,9.29,68.81,,0.0,234.82,0.0,8.53,52.08,184.56,0.0,19.51,18.94,8.66,54.35,0.0,0.0,72.48,4.83
2021-02-17,19.35,55.73,0.0,188.56,56.77,80.49,0.0,11.72,87.13,100.11,9.29,67.95,,0.0,234.81,0.0,8.51,51.82,184.67,0.0,19.52,18.95,8.67,54.26,0.0,0.0,72.52,4.84
2021-02-18,19.3,55.74,0.0,187.78,56.62,79.89,0.0,11.65,86.69,99.99,9.27,67.89,,0.0,233.94,0.0,8.47,51.73,184.11,0.0,19.46,18.9,8.64,54.16,0.0,0.0,72.3,4.85
