DATE,AED,AUD,BDT,BHD,CAD,CHF,CNY,DKK,EUR,GBP,HKD,JPY,KRW,KWD,MYR,NOK,NZD,OMR,PKR,QAR,SAR,SEK,SGD,THB,TRY,USD,ZAR
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-03,19.75,53.16,0.0,192.39,58.01,80.25,0.0,11.22,83.39,99.37,9.43,63.76,0.0,239.46,0.0,8.33,50.17,188.27,0.0,19.92,19.31,8.12,54.46,0.0,0.0,73.99,4.54
2022-01-05,19.8,53.15,0.0,192.88,57.98,80.28,0.0,11.2,83.19,99.81,9.46,63.54,0.0,239.89,0.0,8.32,50.11,188.89,0.0,19.97,19.36,8.11,54.4,0.0,0.0,74.18,4.53
2022-01-06,19.77,52.78,0.0,192.63,57.58,80.09,0.0,11.2,83.27,99.71,9.44,63.52,0.0,239.73,0.0,8.3,49.78,188.64,0.0,19.8,19.33,8.07,54.23,0.0,0.0,74.08,4.56
2022-01-07,19.75,52.54,0.0,192.41,57.84,79.66,0.0,11.17,83.07,99.68,9.43,63.45,0.0,239.39,0.0,8.28,49.62,188.43,0.0,19.92,19.32,8.05,54.15,0.0,0.0,74.0,4.61
2022-01-10,19.68,52.55,0.0,191.79,57.96,79.48,0.0,11.18,83.05,99.65,9.4,63.29,0.0,238.67,0.0,8.29,49.57,187.82,0.0,19.71,19.28,8.08,54.12,0.0,0.0,73.76,4.64
2022-01-11,19.63,52.4,0.0,191.24,57.78,78.75,0.0,11.14,82.85,99.4,9.37,63.35,0.0,237.96,0.0,8.27,49.39,187.28,0.0,19.8,19.21,8.04,54.0,0.0,0.0,73.55,4.6
2022-01-12,19.58,52.47,0.0,190.77,58.1,78.82,0.0,11.14,82.92,99.54,9.35,63.18,0.0,237.4,0.0,8.32,49.46,186.85,0.0,19.75,19.16,8.08,54.04,0.0,0.0,73.38,4.64
2022-01-13,19.62,53.07,0.0,191.11,58.43,79.72,0.0,11.23,83.57,100.22,9.37,63.73,0.0,238.05,0.0,8.43,50.05,187.03,0.0,19.79,19.2,8.17,54.26,0.0,0.0,73.5,4.7
2022-01-14,19.64,53.1,0.0,191.37,58.51,80.17,0.0,11.28,83.9,100.5,9.39,64.25,0.0,238.69,0.0,8.43,50.12,187.41,0.0,19.81,19.22,8.2,54.4,0.0,0.0,73.6,4.68
2022-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-17,19.69,52.72,0.0,191.85,58.46,80.02,0.0,11.26,83.7,100.38,9.41,64.06,0.0,239.11,0.0,8.36,49.8,187.74,0.0,19.73,19.27,8.13,54.41,0.0,0.0,73.78,4.69
2022-01-18,19.74,52.69,0.0,192.28,58.69,80.12,0.0,11.26,83.75,100.28,9.43,63.93,0.0,239.66,0.0,8.41,49.73,188.3,0.0,19.91,19.32,8.14,54.52,0.0,0.0,73.95,4.7
2022-01-19,19.82,52.87,0.0,193.06,59.0,80.31,0.0,11.23,83.53,100.39,9.47,64.39,0.0,240.44,0.0,8.38,49.97,189.07,0.0,19.99,19.4,8.08,54.64,0.0,0.0,74.25,4.69
2022-01-21,19.78,52.81,0.0,192.72,58.8,80.3,0.0,11.2,83.39,100.21,9.46,64.72,0.0,240.05,0.0,8.34,49.51,188.73,0.0,19.95,19.37,7.99,54.74,0.0,0.0,74.12,4.76
2022-01-24,19.75,52.65,0.0,192.44,58.54,80.3,0.0,11.2,83.29,99.75,9.44,64.56,0.0,239.74,0.0,8.27,49.32,188.43,0.0,19.78,19.34,7.99,54.73,0.0,0.0,74.0,4.81
