DATE,AED,AUD,BDT,BHD,CAD,CHF,CNY,DKK,EUR,GBP,HKD,JPY,KES,KRW,KWD,LKR,MYR,NOK,NZD,OMR,PKR,QAR,RUB,SAR,SEK,SGD,THB,TRY,USD,ZAR
2024-01-01,22.09,55.7,0.0,208.16,62.07,97.47,0.0,12.21,90.73,104.74,10.57,58.36,0.0,0.0,263.68,0.25,0.0,8.09,51.67,203.44,0.0,22.28,0.0,21.64,8.17,62.36,0.0,0.0,82.78,4.43
2024-01-02,22.11,55.8,0.0,208.48,62.16,97.26,0.0,12.21,90.71,104.73,10.57,58.2,0.0,0.0,263.94,0.25,0.0,8.11,51.56,210.48,0.0,22.3,0.0,21.66,8.18,62.3,0.0,0.0,82.86,4.43
2024-01-03,22.13,55.42,0.0,215.57,61.82,96.45,0.0,12.08,90.03,104.08,10.55,57.81,0.0,0.0,264.24,0.25,0.0,7.95,51.44,211.09,0.0,22.3,0.0,21.67,8.06,62.12,0.0,0.0,82.91,4.34
2024-01-04,22.11,55.26,0.0,213.89,61.81,96.68,0.0,12.13,90.21,104.75,10.58,57.28,0.0,0.0,263.76,0.25,0.0,8.03,51.26,210.44,0.0,22.3,0.0,21.63,8.08,62.06,0.0,0.0,82.84,4.36
2024-01-05,22.11,54.89,0.0,213.9,61.65,96.56,0.0,12.11,90.02,104.42,10.57,56.87,0.0,0.0,263.62,0.25,0.0,8.03,50.97,210.23,0.0,22.3,0.0,21.63,8.09,61.92,0.0,0.0,82.84,4.34
2024-01-06,22.08,55.0,0.0,213.62,61.52,96.5,0.0,12.09,90.03,104.66,10.56,56.91,0.0,0.0,263.34,0.25,0.0,7.93,50.84,209.97,0.0,22.27,0.0,21.6,8.05,61.81,0.0,0.0,82.74,4.33
2024-01-07,22.08,55.0,0.0,213.62,61.52,96.5,0.0,12.09,90.03,104.66,10.56,56.91,0.0,0.0,263.34,0.25,0.0,7.93,50.84,209.97,0.0,22.27,0.0,21.6,8.05,61.81,0.0,0.0,82.74,4.33
2024-01-08,22.07,54.89,0.0,208.98,61.53,96.28,0.0,12.08,89.84,104.49,10.56,56.98,0.0,0.0,263.25,0.25,0.0,7.99,51.02,210.1,0.0,22.26,0.0,21.62,8.03,61.84,0.0,0.0,82.71,4.33
2024-01-09,22.06,55.01,0.0,213.47,61.59,96.75,0.0,12.11,90.01,104.85,10.55,57.27,0.0,0.0,263.23,0.25,0.0,7.97,51.15,209.81,0.0,22.24,0.0,21.59,8.07,61.91,0.0,0.0,82.66,4.36
2024-01-10,22.08,54.87,0.0,213.63,61.49,96.24,0.0,12.09,89.85,104.5,10.55,56.85,0.0,0.0,263.36,0.25,0.0,7.98,51.04,209.98,0.0,22.26,0.0,21.6,8.06,61.79,0.0,0.0,82.74,4.34
2024-01-11,22.06,55.04,0.0,214.93,61.5,96.44,0.0,12.1,90.13,104.92,10.51,56.59,0.0,0.0,263.54,0.25,0.0,7.96,51.24,210.47,0.0,22.22,0.0,21.61,8.06,61.82,0.0,0.0,82.66,4.34
2024-01-12,22.06,54.84,0.0,213.52,61.47,96.22,0.0,12.13,90.17,105.01,10.54,56.74,0.0,0.0,263.34,0.25,0.0,8.02,51.07,209.83,0.0,22.25,0.0,21.59,8.05,61.81,0.0,0.0,82.68,4.36
2024-01-13,22.06,54.84,0.0,213.52,61.47,96.22,0.0,12.13,90.17,105.01,10.54,56.74,0.0,0.0,263.34,0.25,0.0,8.02,51.07,209.83,0.0,22.25,0.0,21.59,8.05,61.81,0.0,0.0,82.68,4.36
2024-01-14,22.06,54.84,0.0,213.52,61.47,96.22,0.0,12.13,90.17,105.01,10.54,56.74,0.0,0.0,263.34,0.25,0.0,8.02,51.07,209.83,0.0,22.25,0.0,21.59,8.05,61.81,0.0,0.0,82.68,4.36
2024-01-15,22.0,54.49,0.0,207.75,61.15,95.72,0.0,12.06,89.63,104.35,10.51,56.51,0.0,0.0,262.53,0.25,0.0,7.99,50.71,209.38,0.0,22.19,0.0,21.54,7.99,61.53,0.0,0.0,82.43,4.33
2024-01-16,22.03,54.05,0.0,213.15,60.94,95.44,0.0,12.05,89.57,104.1,10.52,56.24,0.0,0.0,262.87,0.25,0.0,7.92,50.32,209.49,0.0,22.22,0.0,21.55,7.95,61.42,0.0,0.0,82.55,4.31
2024-01-17,22.08,53.75,0.0,213.59,60.95,95.1,0.0,12.01,89.28,103.77,10.54,55.85,0.0,0.0,263.12,0.25,0.0,7.88,50.12,209.94,0.0,22.27,0.0,21.6,7.89,61.21,0.0,0.0,82.73,4.26
2024-01-18,22.08,53.75,0.0,213.59,60.95,95.1,0.0,12.01,89.28,103.77,10.54,55.85,0.0,0.0,263.12,0.25,0.0,7.88,50.12,209.94,0.0,22.27,0.0,21.6,7.89,61.21,0.0,0.0,82.73,4.26
2024-01-19,22.08,53.85,0.0,213.67,61.02,94.49,0.0,12.04,89.46,104.56,10.55,55.54,0.0,0.0,263.12,0.25,0.0,7.85,49.91,210.0,0.0,22.27,0.0,21.6,7.88,61.32,0.0,0.0,82.75,4.29
2024-01-20,22.07,53.93,0.0,213.51,61.06,94.38,0.0,12.04,89.61,104.41,10.54,55.53,0.0,0.0,262.9,0.25,0.0,7.82,50.0,209.83,0.0,22.25,0.0,21.59,7.88,61.3,0.0,0.0,82.68,4.24
2024-01-21,22.07,53.93,0.0,213.51,61.06,94.38,0.0,12.04,89.61,104.41,10.54,55.53,0.0,0.0,262.9,0.25,0.0,7.82,50.0,209.83,0.0,22.25,0.0,21.59,7.88,61.3,0.0,0.0,82.68,4.24
2024-01-22,22.07,53.93,0.0,213.51,61.06,94.38,0.0,12.04,89.61,104.41,10.54,55.53,0.0,0.0,262.9,0.25,0.0,7.82,50.0,209.83,0.0,22.25,0.0,21.59,7.88,61.3,0.0,0.0,82.68,4.24
2024-01-23,22.08,54.07,0.0,213.62,61.14,94.79,0.0,12.06,89.67,104.82,10.54,55.94,0.0,0.0,263.23,0.25,0.0,7.88,49.97,210.15,0.0,22.27,0.0,21.6,7.92,61.5,0.0,0.0,82.73,4.25
2024-01-24,22.09,54.02,0.0,213.7,61.21,94.82,0.0,12.05,89.6,105.02,10.55,55.81,0.0,0.0,263.33,0.25,0.0,7.9,50.16,210.0,0.0,22.27,0.0,21.61,7.92,61.5,0.0,0.0,82.75,4.31
2024-01-25,22.08,53.76,0.0,213.62,60.86,94.88,0.0,12.03,89.37,104.56,10.55,55.74,0.0,0.0,263.2,0.25,0.0,7.88,49.91,209.95,0.0,22.27,0.0,21.6,7.9,61.4,0.0,0.0,82.73,4.29
2024-01-26,22.08,53.76,0.0,213.62,60.86,94.88,0.0,12.03,89.37,104.56,10.55,55.74,0.0,0.0,263.2,0.25,0.0,7.88,49.91,209.95,0.0,22.27,0.0,21.6,7.9,61.4,0.0,0.0,82.73,4.29
2024-01-27,22.08,53.76,0.0,213.62,60.86,94.88,0.0,12.03,89.37,104.56,10.55,55.74,0.0,0.0,263.2,0.25,0.0,7.88,49.91,209.95,0.0,22.27,0.0,21.6,7.9,61.4,0.0,0.0,82.73,4.29
2024-01-28,22.08,53.76,0.0,213.62,60.86,94.88,0.0,12.03,89.37,104.56,10.55,55.74,0.0,0.0,263.2,0.25,0.0,7.88,49.91,209.95,0.0,22.27,0.0,21.6,7.9,61.4,0.0,0.0,82.73,4.29
2024-01-29,22.08,53.89,0.0,208.0,61.15,94.99,0.0,11.99,89.1,104.45,10.55,55.56,0.0,0.0,263.27,0.25,0.0,7.91,49.8,210.17,0.0,22.27,0.0,21.63,7.89,61.35,0.0,0.0,82.74,4.31
