DATE,AED,AUD,BDT,BHD,CAD,CHF,CNY,DKK,EUR,GBP,HKD,IDR,JPY,KES,KRW,KWD,LKR,MYR,NOK,NZD,OMR,PKR,QAR,RUB,SAR,SEK,SGD,THB,TRY,USD,ZAR
2025-01-01,22.74,51.94,0.0,219.9,58.79,92.86,0.0,11.79,87.43,105.9,10.94,,53.82,0.0,0.0,270.5,0.0,0.0,7.47,46.9,216.2,0.0,22.04,0.0,22.32,7.68,61.89,0.0,0.0,85.22,4.42
2025-01-02,22.76,52.26,0.0,220.2,58.92,93.24,0.0,11.82,87.71,106.2,10.94,,53.91,0.0,0.0,270.8,0.0,0.0,7.5,47.14,216.6,0.0,22.06,0.0,22.37,7.7,62.24,0.0,0.0,85.3,4.44
2025-01-03,22.78,52.27,0.0,220.3,58.94,92.64,0.0,11.72,86.93,105.1,10.94,,53.91,0.0,0.0,270.9,0.0,0.0,7.48,47.08,216.6,0.0,21.94,0.0,22.37,7.64,61.95,0.0,0.0,85.38,4.47
2025-01-04,22.78,52.16,0.0,220.4,58.64,92.88,0.0,11.76,87.24,105.2,10.94,,53.95,0.0,0.0,270.8,0.0,0.0,7.49,46.81,216.7,0.0,22.07,0.0,22.36,7.66,61.82,0.0,0.0,85.35,4.47
2025-01-06,22.78,52.35,0.0,215.2,58.87,92.84,0.0,11.77,87.3,105.4,10.95,,53.8,0.0,0.0,270.9,0.0,0.0,7.5,47.17,216.7,0.0,22.11,0.0,22.4,7.67,61.86,0.0,0.0,85.38,4.46
2025-01-07,22.79,52.69,0.0,220.4,59.2,93.33,0.0,11.86,87.97,106.2,10.95,,53.66,0.0,0.0,271.0,0.0,0.0,7.55,47.57,216.6,0.0,22.01,0.0,22.38,7.72,62.12,0.0,0.0,85.39,4.5
2025-01-08,22.79,52.43,0.0,220.4,59.1,92.92,0.0,11.81,87.63,105.8,10.95,,53.65,0.0,0.0,271.1,0.0,0.0,7.52,47.33,216.7,0.0,21.96,0.0,22.38,7.67,62.08,0.0,0.0,85.4,4.47
2025-01-09,22.82,52.3,0.0,220.7,59.12,92.96,0.0,11.79,87.48,104.9,10.96,,53.81,0.0,0.0,271.6,0.0,0.0,7.48,47.15,217.0,0.0,23.02,0.0,22.42,7.65,62.1,0.0,0.0,85.52,4.43
2025-01-10,22.81,52.22,0.0,220.7,58.91,92.72,0.0,11.76,87.27,104.4,10.95,,53.68,0.0,0.0,271.4,0.0,0.0,7.48,47.06,216.9,0.0,22.11,0.0,22.4,7.64,62.01,0.0,0.0,85.48,4.42
2025-01-13,22.94,51.99,0.0,221.8,59.13,92.72,0.0,11.74,87.09,103.7,11.0,,54.23,0.0,0.0,272.7,0.0,0.0,7.46,46.95,218.0,0.0,22.1,0.0,22.55,7.62,62.14,0.0,0.0,85.95,4.4
